algorithm,Q_format,W,F,metric_source,source_project,input_checksum,requested_steps,completed_steps,RTL_verification_status,MSE,RMSE,NMSE_dB,RMSE_x,RMSE_y,RMSE_z,MSE_change_vs_Q8_16_percent,difference_from_float_MSE,difference_from_float_RMSE,Python_internal_saturation_events,Python_determinant_floor_events,Python_diagonal_floor_events,RTL_overflow_updates,RTL_numeric_error_updates,RTL_solver_error_updates,negative_covariance_diagonal_count,cycles_per_update_min,cycles_per_update_max,RTL_flag_source,LUT,FF,DSP,BRAM,WNS_ns,estimated_power_W,hardware_status
ekf,float64,,,float reference,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.010054164693040823,0.10027045772829016,-38.68444184571628,0.08113956347853821,0.11801338119655103,0.09824310243570424,,0.0,0.0,,,,,,,,,,,,,,,,,NOT_RUN
ekf,Q8.16,24,16,Python fixed,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.010064316282025752,0.1003210659932686,-38.68005903027574,0.08119107016323208,0.11805285788462772,0.09830809588786811,0.0,1.7610652674344733e-07,0.00041965048164329245,0,0,0,,,,0,,,,,,,,,,NOT_RUN
ekf,Q8.16,24,16,RTL output,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.010064316282025752,0.1003210659932686,-38.68005903027574,0.08119107016323208,0.11805285788462772,0.09830809588786811,0.0,1.7610652674344733e-07,0.00041965048164329245,,,,,,,0,1236,1236,not exported by baseline EKF CSV; no invented counts,,,,,,,NOT_RUN
bkf_l1,float64,,,float reference,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.01761933745404512,0.13273785237845728,-36.24800606057535,0.10148639744492546,0.15812046523220047,0.13250072441514596,,0.0,0.0,,,,,,,,,,,,,,,,,NOT_RUN
bkf_l1,Q8.16,24,16,Python fixed,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.015935224834601712,0.12623480041019478,-36.68431984080235,0.10199338643591847,0.1490299905053662,0.12326023510081827,0.0,0.005501313054689826,0.07417083695557053,0,0,0,,,,0,,,,,,,,,,NOT_RUN
bkf_l1,Q8.16,24,16,RTL output,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.015935224834601712,0.12623480041019478,-36.68431984080235,0.10199338643591847,0.1490299905053662,0.12326023510081827,0.0,0.005501313054689826,0.07417083695557053,,,,0,0,0,0,1306,1306,actual CSV flags,,,,,,,NOT_RUN
rbkf_l1,float64,,,float reference,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.01761933745404512,0.13273785237845728,-36.24800606057535,0.10148639744492546,0.15812046523220047,0.13250072441514596,,0.0,0.0,,,,,,,,,,,,,,,,,NOT_RUN
rbkf_l1,Q8.16,24,16,Python fixed,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.015935224834601712,0.12623480041019478,-36.68431984080235,0.10199338643591847,0.1490299905053662,0.12326023510081827,0.0,0.005501313054689826,0.07417083695557053,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l1,Q8.16,24,16,RTL output,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.015935224834601712,0.12623480041019478,-36.68431984080235,0.10199338643591847,0.1490299905053662,0.12326023510081827,0.0,0.005501313054689826,0.07417083695557053,,,,,,,0,1306,1306,not exported by baseline EKF CSV; no invented counts,,,,,,,NOT_RUN
rbkf_l8,float64,,,float reference,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.004526364622783407,0.06727826263202259,-42.15040643755099,0.05363738485151162,0.07929003722111229,0.06644708279612944,,0.0,0.0,,,,,,,,,,,,,,,,,NOT_RUN
rbkf_l8,Q8.16,24,16,Python fixed,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.00454560746948445,0.06742112035174475,-42.131982494913665,0.05360233850133572,0.07930182769855854,0.06689418389747875,0.0,8.460641032251735e-05,0.009198174292897333,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l8,Q8.16,24,16,RTL output,/private<TMPDIR>/bkf_bitwidth__8r2o6r9/baseline_q8_16,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.00454560746948445,0.06742112035174475,-42.131982494913665,0.05360233850133572,0.07930182769855854,0.06689418389747875,0.0,8.460641032251735e-05,0.009198174292897333,,,,,,,0,1342,1342,not exported by baseline EKF CSV; no invented counts,,,,,,,NOT_RUN
ekf,Q8.14,22,14,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.010065804764835654,0.10032848431445406,-38.67941676898936,0.08114344677046044,0.11806089819409808,0.09836045779844271,0.014789706207474218,2.5732611020020724e-06,0.0016041387415065046,0,0,0,,,,0,,,,,,,,,,NOT_RUN
ekf,Q8.14,22,14,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.010065804764835654,0.10032848431445406,-38.67941676898936,0.08114344677046044,0.11806089819409808,0.09836045779844271,0.014789706207474218,2.5732611020020724e-06,0.0016041387415065046,,,,0,0,0,0,1200,1200,actual CSV flags,,,,,,,NOT_RUN
bkf_l1,Q8.14,22,14,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.01765323561443537,0.1328654793933901,-36.23965861821107,0.10381846278749476,0.15774438385341383,0.1315224048991445,10.781214558725116,0.005078962854033856,0.07126684259902255,0,0,0,,,,0,,,,,,,,,,NOT_RUN
bkf_l1,Q8.14,22,14,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.01765323561443537,0.1328654793933901,-36.23965861821107,0.10381846278749476,0.15774438385341383,0.1315224048991445,10.781214558725116,0.005078962854033856,0.07126684259902255,,,,0,0,0,0,1270,1270,actual CSV flags,,,,,,,NOT_RUN
rbkf_l1,Q8.14,22,14,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.01765323561443537,0.1328654793933901,-36.23965861821107,0.10381846278749476,0.15774438385341383,0.1315224048991445,10.781214558725116,0.005078962854033856,0.07126684259902255,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l1,Q8.14,22,14,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.01765323561443537,0.1328654793933901,-36.23965861821107,0.10381846278749476,0.15774438385341383,0.1315224048991445,10.781214558725116,0.005078962854033856,0.07126684259902255,,,,0,0,0,0,1270,1270,actual CSV flags,,,,,,,NOT_RUN
rbkf_l8,Q8.14,22,14,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.004680661610336499,0.06841536092381958,-42.00482934688683,0.05442006990359285,0.08092862878106712,0.06731268726112337,2.971091141474358,0.00012133903336781484,0.01101539982786893,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l8,Q8.14,22,14,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_14,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.004680661610336499,0.06841536092381958,-42.00482934688683,0.05442006990359285,0.08092862878106712,0.06731268726112337,2.971091141474358,0.00012133903336781484,0.01101539982786893,,,,0,0,0,0,1306,1306,actual CSV flags,,,,,,,NOT_RUN
ekf,Q8.12,20,12,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.01010306166830841,0.10051398742617074,-38.663371756197954,0.08100463047459919,0.11834543464532328,0.09870052150423718,0.38497782856701246,3.0896656525901464e-05,0.005558476097448064,0,0,0,,,,0,,,,,,,,,,NOT_RUN
ekf,Q8.12,20,12,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.01010306166830841,0.10051398742617074,-38.663371756197954,0.08100463047459919,0.11834543464532328,0.09870052150423718,0.38497782856701246,3.0896656525901464e-05,0.005558476097448064,,,,0,0,0,0,1164,1164,actual CSV flags,,,,,,,NOT_RUN
bkf_l1,Q8.12,20,12,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.017352705485947594,0.1317296682070808,-36.31422983616897,0.10431042718133741,0.15831661748802828,0.1269381734004355,8.895266091683673,0.004680151970025282,0.0684116362180096,0,0,0,,,,0,,,,,,,,,,NOT_RUN
bkf_l1,Q8.12,20,12,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.017352705485947594,0.1317296682070808,-36.31422983616897,0.10431042718133741,0.15831661748802828,0.1269381734004355,8.895266091683673,0.004680151970025282,0.0684116362180096,,,,0,0,0,0,1234,1234,actual CSV flags,,,,,,,NOT_RUN
rbkf_l1,Q8.12,20,12,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.017352705485947594,0.1317296682070808,-36.31422983616897,0.10431042718133741,0.15831661748802828,0.1269381734004355,8.895266091683673,0.004680151970025282,0.0684116362180096,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l1,Q8.12,20,12,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.017352705485947594,0.1317296682070808,-36.31422983616897,0.10431042718133741,0.15831661748802828,0.1269381734004355,8.895266091683673,0.004680151970025282,0.0684116362180096,,,,0,0,0,0,1234,1234,actual CSV flags,,,,,,,NOT_RUN
rbkf_l8,Q8.12,20,12,Python fixed,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,,0.004658323333440118,0.06825191084094363,-42.02560549965191,0.05450001456082247,0.0805947791180575,0.06715057700498199,2.4796655829248726,0.0001387022856757132,0.011777193454966816,0,0,0,,,,0,,,,,,,,,,NOT_RUN
rbkf_l8,Q8.12,20,12,RTL output,<USER_HOME>/Desktop/Digital/Project/BKF_RTL_Q8_12,29c0ad4fa2ca5cd1d87f8869b7599a47b915bbb4531749108e59144c7ddba648,500,500,PASS,0.004658323333440118,0.06825191084094363,-42.02560549965191,0.05450001456082247,0.0805947791180575,0.06715057700498199,2.4796655829248726,0.0001387022856757132,0.011777193454966816,,,,0,0,0,0,1270,1270,actual CSV flags,,,,,,,NOT_RUN
