step,start_cycle,result_cycle,cycles
0,4,1168,1164
1,1169,2333,1164
2,2334,3498,1164
3,3499,4663,1164
4,4664,5828,1164
5,5829,6993,1164
6,6994,8158,1164
7,8159,9323,1164
8,9324,10488,1164
9,10489,11653,1164
10,11654,12818,1164
11,12819,13983,1164
12,13984,15148,1164
13,15149,16313,1164
14,16314,17478,1164
15,17479,18643,1164
16,18644,19808,1164
17,19809,20973,1164
18,20974,22138,1164
19,22139,23303,1164
20,23304,24468,1164
21,24469,25633,1164
22,25634,26798,1164
23,26799,27963,1164
24,27964,29128,1164
25,29129,30293,1164
26,30294,31458,1164
27,31459,32623,1164
28,32624,33788,1164
29,33789,34953,1164
30,34954,36118,1164
31,36119,37283,1164
32,37284,38448,1164
33,38449,39613,1164
34,39614,40778,1164
35,40779,41943,1164
36,41944,43108,1164
37,43109,44273,1164
38,44274,45438,1164
39,45439,46603,1164
40,46604,47768,1164
41,47769,48933,1164
42,48934,50098,1164
43,50099,51263,1164
44,51264,52428,1164
45,52429,53593,1164
46,53594,54758,1164
47,54759,55923,1164
48,55924,57088,1164
49,57089,58253,1164
50,58254,59418,1164
51,59419,60583,1164
52,60584,61748,1164
53,61749,62913,1164
54,62914,64078,1164
55,64079,65243,1164
56,65244,66408,1164
57,66409,67573,1164
58,67574,68738,1164
59,68739,69903,1164
60,69904,71068,1164
61,71069,72233,1164
62,72234,73398,1164
63,73399,74563,1164
64,74564,75728,1164
65,75729,76893,1164
66,76894,78058,1164
67,78059,79223,1164
68,79224,80388,1164
69,80389,81553,1164
70,81554,82718,1164
71,82719,83883,1164
72,83884,85048,1164
73,85049,86213,1164
74,86214,87378,1164
75,87379,88543,1164
76,88544,89708,1164
77,89709,90873,1164
78,90874,92038,1164
79,92039,93203,1164
80,93204,94368,1164
81,94369,95533,1164
82,95534,96698,1164
83,96699,97863,1164
84,97864,99028,1164
85,99029,100193,1164
86,100194,101358,1164
87,101359,102523,1164
88,102524,103688,1164
89,103689,104853,1164
90,104854,106018,1164
91,106019,107183,1164
92,107184,108348,1164
93,108349,109513,1164
94,109514,110678,1164
95,110679,111843,1164
96,111844,113008,1164
97,113009,114173,1164
98,114174,115338,1164
99,115339,116503,1164
100,116504,117668,1164
101,117669,118833,1164
102,118834,119998,1164
103,119999,121163,1164
104,121164,122328,1164
105,122329,123493,1164
106,123494,124658,1164
107,124659,125823,1164
108,125824,126988,1164
109,126989,128153,1164
110,128154,129318,1164
111,129319,130483,1164
112,130484,131648,1164
113,131649,132813,1164
114,132814,133978,1164
115,133979,135143,1164
116,135144,136308,1164
117,136309,137473,1164
118,137474,138638,1164
119,138639,139803,1164
120,139804,140968,1164
121,140969,142133,1164
122,142134,143298,1164
123,143299,144463,1164
124,144464,145628,1164
125,145629,146793,1164
126,146794,147958,1164
127,147959,149123,1164
128,149124,150288,1164
129,150289,151453,1164
130,151454,152618,1164
