step,start_cycle,result_cycle,cycles
0,4,1238,1234
1,1239,2473,1234
2,2474,3708,1234
3,3709,4943,1234
4,4944,6178,1234
5,6179,7413,1234
6,7414,8648,1234
7,8649,9883,1234
8,9884,11118,1234
9,11119,12353,1234
10,12354,13588,1234
11,13589,14823,1234
12,14824,16058,1234
13,16059,17293,1234
14,17294,18528,1234
15,18529,19763,1234
16,19764,20998,1234
17,20999,22233,1234
18,22234,23468,1234
19,23469,24703,1234
20,24704,25938,1234
21,25939,27173,1234
22,27174,28408,1234
23,28409,29643,1234
24,29644,30878,1234
25,30879,32113,1234
26,32114,33348,1234
27,33349,34583,1234
28,34584,35818,1234
29,35819,37053,1234
30,37054,38288,1234
31,38289,39523,1234
32,39524,40758,1234
33,40759,41993,1234
34,41994,43228,1234
35,43229,44463,1234
36,44464,45698,1234
37,45699,46933,1234
38,46934,48168,1234
39,48169,49403,1234
40,49404,50638,1234
41,50639,51873,1234
42,51874,53108,1234
43,53109,54343,1234
44,54344,55578,1234
45,55579,56813,1234
46,56814,58048,1234
47,58049,59283,1234
48,59284,60518,1234
49,60519,61753,1234
50,61754,62988,1234
51,62989,64223,1234
52,64224,65458,1234
53,65459,66693,1234
54,66694,67928,1234
55,67929,69163,1234
56,69164,70398,1234
57,70399,71633,1234
58,71634,72868,1234
59,72869,74103,1234
60,74104,75338,1234
61,75339,76573,1234
62,76574,77808,1234
63,77809,79043,1234
64,79044,80278,1234
65,80279,81513,1234
66,81514,82748,1234
67,82749,83983,1234
68,83984,85218,1234
69,85219,86453,1234
70,86454,87688,1234
71,87689,88923,1234
72,88924,90158,1234
73,90159,91393,1234
74,91394,92628,1234
75,92629,93863,1234
76,93864,95098,1234
77,95099,96333,1234
78,96334,97568,1234
79,97569,98803,1234
80,98804,100038,1234
81,100039,101273,1234
82,101274,102508,1234
83,102509,103743,1234
84,103744,104978,1234
85,104979,106213,1234
86,106214,107448,1234
87,107449,108683,1234
88,108684,109918,1234
89,109919,111153,1234
90,111154,112388,1234
91,112389,113623,1234
92,113624,114858,1234
93,114859,116093,1234
94,116094,117328,1234
95,117329,118563,1234
96,118564,119798,1234
97,119799,121033,1234
98,121034,122268,1234
99,122269,123503,1234
100,123504,124738,1234
101,124739,125973,1234
102,125974,127208,1234
103,127209,128443,1234
104,128444,129678,1234
105,129679,130913,1234
106,130914,132148,1234
107,132149,133383,1234
108,133384,134618,1234
109,134619,135853,1234
110,135854,137088,1234
111,137089,138323,1234
112,138324,139558,1234
113,139559,140793,1234
114,140794,142028,1234
115,142029,143263,1234
116,143264,144498,1234
117,144499,145733,1234
118,145734,146968,1234
119,146969,148203,1234
120,148204,149438,1234
121,149439,150673,1234
122,150674,151908,1234
123,151909,153143,1234
124,153144,154378,1234
125,154379,155613,1234
126,155614,156848,1234
127,156849,158083,1234
128,158084,159318,1234
129,159319,160553,1234
130,160554,161788,1234
131,161789,163023,1234
132,163024,164258,1234
133,164259,165493,1234
134,165494,166728,1234
135,166729,167963,1234
136,167964,169198,1234
137,169199,170433,1234
138,170434,171668,1234
139,171669,172903,1234
