step,start_cycle,result_cycle,cycles
0,4,1240,1236
1,1241,2477,1236
2,2478,3714,1236
3,3715,4951,1236
4,4952,6188,1236
5,6189,7425,1236
6,7426,8662,1236
7,8663,9899,1236
8,9900,11136,1236
9,11137,12373,1236
10,12374,13610,1236
11,13611,14847,1236
12,14848,16084,1236
13,16085,17321,1236
14,17322,18558,1236
15,18559,19795,1236
16,19796,21032,1236
17,21033,22269,1236
18,22270,23506,1236
19,23507,24743,1236
20,24744,25980,1236
21,25981,27217,1236
22,27218,28454,1236
23,28455,29691,1236
24,29692,30928,1236
25,30929,32165,1236
26,32166,33402,1236
27,33403,34639,1236
28,34640,35876,1236
29,35877,37113,1236
30,37114,38350,1236
31,38351,39587,1236
32,39588,40824,1236
33,40825,42061,1236
34,42062,43298,1236
35,43299,44535,1236
36,44536,45772,1236
37,45773,47009,1236
38,47010,48246,1236
39,48247,49483,1236
40,49484,50720,1236
41,50721,51957,1236
42,51958,53194,1236
43,53195,54431,1236
44,54432,55668,1236
45,55669,56905,1236
46,56906,58142,1236
47,58143,59379,1236
48,59380,60616,1236
49,60617,61853,1236
50,61854,63090,1236
51,63091,64327,1236
52,64328,65564,1236
53,65565,66801,1236
54,66802,68038,1236
55,68039,69275,1236
56,69276,70512,1236
57,70513,71749,1236
58,71750,72986,1236
59,72987,74223,1236
60,74224,75460,1236
61,75461,76697,1236
62,76698,77934,1236
63,77935,79171,1236
64,79172,80408,1236
65,80409,81645,1236
66,81646,82882,1236
67,82883,84119,1236
68,84120,85356,1236
69,85357,86593,1236
70,86594,87830,1236
71,87831,89067,1236
72,89068,90304,1236
73,90305,91541,1236
74,91542,92778,1236
75,92779,94015,1236
76,94016,95252,1236
77,95253,96489,1236
78,96490,97726,1236
79,97727,98963,1236
80,98964,100200,1236
81,100201,101437,1236
82,101438,102674,1236
83,102675,103911,1236
84,103912,105148,1236
85,105149,106385,1236
86,106386,107622,1236
87,107623,108859,1236
88,108860,110096,1236
89,110097,111333,1236
90,111334,112570,1236
91,112571,113807,1236
92,113808,115044,1236
93,115045,116281,1236
94,116282,117518,1236
95,117519,118755,1236
96,118756,119992,1236
97,119993,121229,1236
98,121230,122466,1236
99,122467,123703,1236
100,123704,124940,1236
101,124941,126177,1236
102,126178,127414,1236
103,127415,128651,1236
104,128652,129888,1236
105,129889,131125,1236
106,131126,132362,1236
107,132363,133599,1236
108,133600,134836,1236
109,134837,136073,1236
110,136074,137310,1236
111,137311,138547,1236
112,138548,139784,1236
113,139785,141021,1236
114,141022,142258,1236
115,142259,143495,1236
116,143496,144732,1236
117,144733,145969,1236
118,145970,147206,1236
119,147207,148443,1236
120,148444,149680,1236
121,149681,150917,1236
122,150918,152154,1236
123,152155,153391,1236
124,153392,154628,1236
125,154629,155865,1236
126,155866,157102,1236
127,157103,158339,1236
128,158340,159576,1236
129,159577,160813,1236
130,160814,162050,1236
131,162051,163287,1236
132,163288,164524,1236
133,164525,165761,1236
134,165762,166998,1236
135,166999,168235,1236
136,168236,169472,1236
137,169473,170709,1236
138,170710,171946,1236
139,171947,173183,1236
140,173184,174420,1236
141,174421,175657,1236
142,175658,176894,1236
143,176895,178131,1236
144,178132,179368,1236
145,179369,180605,1236
146,180606,181842,1236
147,181843,183079,1236
148,183080,184316,1236
149,184317,185553,1236
150,185554,186790,1236
151,186791,188027,1236
152,188028,189264,1236
153,189265,190501,1236
154,190502,191738,1236
155,191739,192975,1236
156,192976,194212,1236
157,194213,195449,1236
158,195450,196686,1236
159,196687,197923,1236
160,197924,199160,1236
161,199161,200397,1236
162,200398,201634,1236
163,201635,202871,1236
164,202872,204108,1236
165,204109,205345,1236
166,205346,206582,1236
167,206583,207819,1236
168,207820,209056,1236
169,209057,210293,1236
170,210294,211530,1236
171,211531,212767,1236
172,212768,214004,1236
173,214005,215241,1236
174,215242,216478,1236
175,216479,217715,1236
176,217716,218952,1236
177,218953,220189,1236
178,220190,221426,1236
179,221427,222663,1236
180,222664,223900,1236
181,223901,225137,1236
182,225138,226374,1236
183,226375,227611,1236
184,227612,228848,1236
185,228849,230085,1236
186,230086,231322,1236
187,231323,232559,1236
188,232560,233796,1236
189,233797,235033,1236
190,235034,236270,1236
191,236271,237507,1236
192,237508,238744,1236
193,238745,239981,1236
194,239982,241218,1236
195,241219,242455,1236
196,242456,243692,1236
197,243693,244929,1236
198,244930,246166,1236
199,246167,247403,1236
200,247404,248640,1236
201,248641,249877,1236
202,249878,251114,1236
203,251115,252351,1236
204,252352,253588,1236
205,253589,254825,1236
206,254826,256062,1236
207,256063,257299,1236
208,257300,258536,1236
209,258537,259773,1236
210,259774,261010,1236
211,261011,262247,1236
212,262248,263484,1236
213,263485,264721,1236
214,264722,265958,1236
215,265959,267195,1236
216,267196,268432,1236
217,268433,269669,1236
218,269670,270906,1236
219,270907,272143,1236
220,272144,273380,1236
221,273381,274617,1236
222,274618,275854,1236
223,275855,277091,1236
224,277092,278328,1236
225,278329,279565,1236
226,279566,280802,1236
