step,start_cycle,result_cycle,cycles
0,4,1346,1342
1,1347,2689,1342
2,2690,4032,1342
3,4033,5375,1342
4,5376,6718,1342
5,6719,8061,1342
6,8062,9404,1342
7,9405,10747,1342
8,10748,12090,1342
9,12091,13433,1342
10,13434,14776,1342
11,14777,16119,1342
12,16120,17462,1342
13,17463,18805,1342
14,18806,20148,1342
15,20149,21491,1342
16,21492,22834,1342
17,22835,24177,1342
18,24178,25520,1342
19,25521,26863,1342
20,26864,28206,1342
21,28207,29549,1342
22,29550,30892,1342
23,30893,32235,1342
24,32236,33578,1342
25,33579,34921,1342
26,34922,36264,1342
27,36265,37607,1342
28,37608,38950,1342
29,38951,40293,1342
30,40294,41636,1342
31,41637,42979,1342
32,42980,44322,1342
33,44323,45665,1342
34,45666,47008,1342
35,47009,48351,1342
36,48352,49694,1342
37,49695,51037,1342
38,51038,52380,1342
39,52381,53723,1342
40,53724,55066,1342
41,55067,56409,1342
42,56410,57752,1342
43,57753,59095,1342
44,59096,60438,1342
45,60439,61781,1342
46,61782,63124,1342
47,63125,64467,1342
48,64468,65810,1342
49,65811,67153,1342
50,67154,68496,1342
51,68497,69839,1342
52,69840,71182,1342
53,71183,72525,1342
54,72526,73868,1342
55,73869,75211,1342
56,75212,76554,1342
57,76555,77897,1342
58,77898,79240,1342
59,79241,80583,1342
60,80584,81926,1342
61,81927,83269,1342
62,83270,84612,1342
63,84613,85955,1342
64,85956,87298,1342
65,87299,88641,1342
66,88642,89984,1342
67,89985,91327,1342
68,91328,92670,1342
69,92671,94013,1342
70,94014,95356,1342
71,95357,96699,1342
72,96700,98042,1342
73,98043,99385,1342
74,99386,100728,1342
75,100729,102071,1342
76,102072,103414,1342
77,103415,104757,1342
78,104758,106100,1342
79,106101,107443,1342
80,107444,108786,1342
81,108787,110129,1342
82,110130,111472,1342
83,111473,112815,1342
84,112816,114158,1342
85,114159,115501,1342
86,115502,116844,1342
87,116845,118187,1342
88,118188,119530,1342
89,119531,120873,1342
90,120874,122216,1342
91,122217,123559,1342
92,123560,124902,1342
93,124903,126245,1342
94,126246,127588,1342
95,127589,128931,1342
96,128932,130274,1342
97,130275,131617,1342
98,131618,132960,1342
99,132961,134303,1342
100,134304,135646,1342
101,135647,136989,1342
102,136990,138332,1342
103,138333,139675,1342
104,139676,141018,1342
105,141019,142361,1342
106,142362,143704,1342
107,143705,145047,1342
108,145048,146390,1342
109,146391,147733,1342
110,147734,149076,1342
111,149077,150419,1342
112,150420,151762,1342
113,151763,153105,1342
114,153106,154448,1342
115,154449,155791,1342
116,155792,157134,1342
117,157135,158477,1342
118,158478,159820,1342
119,159821,161163,1342
120,161164,162506,1342
121,162507,163849,1342
122,163850,165192,1342
123,165193,166535,1342
124,166536,167878,1342
125,167879,169221,1342
126,169222,170564,1342
127,170565,171907,1342
128,171908,173250,1342
129,173251,174593,1342
130,174594,175936,1342
131,175937,177279,1342
132,177280,178622,1342
133,178623,179965,1342
134,179966,181308,1342
135,181309,182651,1342
136,182652,183994,1342
137,183995,185337,1342
138,185338,186680,1342
139,186681,188023,1342
140,188024,189366,1342
141,189367,190709,1342
142,190710,192052,1342
143,192053,193395,1342
144,193396,194738,1342
145,194739,196081,1342
146,196082,197424,1342
147,197425,198767,1342
148,198768,200110,1342
149,200111,201453,1342
150,201454,202796,1342
151,202797,204139,1342
