step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
0,1306,68612,98543,65028,1,-1,1,95350,61445,112465,20269,8884,251,8884,32079,67,251,67,25197,0,0,0
1,1306,93378,105728,110712,1,1,-1,124124,155287,84388,8201,6753,234,6753,18351,139,234,139,11514,0,0,0
2,1306,135494,217124,92824,-1,-1,-1,113621,178418,75080,4192,4938,301,4938,11850,273,301,273,6369,0,0,0
3,1306,130715,236763,84621,1,-1,-1,127407,224746,73861,2589,3816,298,3816,8593,339,298,339,4091,0,0,0
4,1306,151084,290910,89026,-1,1,1,154953,301202,96910,1861,3133,313,3133,6865,421,313,421,2913,0,0,0
5,1306,188613,379961,122842,-1,-1,1,178866,359645,126433,1494,2686,355,2686,5823,537,355,537,2246,0,0,0
6,1306,219575,447223,162485,-1,1,1,223457,456080,167935,1291,2383,404,2383,5135,656,404,656,1846,0,0,0
7,1306,274952,558925,226530,-1,1,-1,276305,563268,223192,1165,2154,478,2154,4610,808,478,808,1622,0,0,0
8,1306,338868,679209,313895,1,-1,1,338006,675967,316776,1078,1964,570,1964,4157,979,570,979,1529,0,0,0
9,1306,410142,794919,449158,1,-1,-1,406341,786871,443886,1008,1778,673,1778,3689,1144,673,1144,1546,0,0,0
10,1306,485120,892986,626435,1,1,-1,489663,902078,627453,943,1581,777,1581,3184,1273,777,1273,1659,0,0,0
11,1306,570622,966949,873290,-1,1,-1,569638,966819,869667,875,1358,875,1358,2613,1331,875,1331,1859,0,0,0
12,1306,640487,949787,1161495,-1,-1,-1,633097,938438,1150346,802,1107,941,1107,2008,1259,941,1259,2093,0,0,0
13,1306,676864,807771,1438980,1,1,1,683379,816382,1449992,723,846,947,846,1448,1032,947,1032,2266,0,0,0
14,1306,683726,555726,1681409,-1,-1,1,682868,553395,1683389,639,596,883,596,1008,683,883,683,2291,0,0,0
15,1306,627821,213645,1782267,-1,-1,1,627305,211487,1785045,558,401,743,401,759,312,743,312,2099,0,0,0
16,1306,520779,-118795,1736755,-1,1,1,521742,-117698,1739966,491,292,563,292,679,39,563,39,1752,0,0,0
17,1306,382253,-365586,1595807,1,-1,1,383702,-366920,1600600,447,268,386,268,691,-98,386,-98,1380,0,0,0
18,1306,233731,-513574,1433499,-1,-1,1,232456,-516600,1436049,432,303,234,303,735,-144,234,-144,1081,0,0,0
19,1306,90567,-582961,1299005,-1,1,-1,90117,-581457,1296059,440,371,109,371,799,-160,109,-160,882,0,0,0
20,1306,-33055,-599660,1208430,-1,-1,1,-35391,-603544,1210862,465,451,3,451,881,-184,3,-184,769,0,0,0
21,1306,-137326,-595532,1170170,1,-1,-1,-137183,-596093,1168674,498,530,-94,530,972,-231,-94,-231,723,0,0,0
22,1306,-217873,-572128,1163553,-1,-1,-1,-220291,-575602,1162935,532,596,-187,596,1055,-298,-187,-298,727,0,0,0
23,1306,-280940,-537443,1182094,1,1,1,-278548,-533895,1182411,562,642,-273,641,1110,-373,-273,-373,770,0,0,0
24,1306,-319872,-481935,1210730,1,-1,-1,-319210,-482029,1208839,584,665,-347,665,1129,-437,-347,-437,834,0,0,0
25,1306,-342622,-417427,1236303,-1,-1,-1,-344829,-420775,1236249,596,668,-402,668,1116,-479,-402,-479,901,0,0,0
26,1306,-351574,-345828,1254986,-1,1,1,-352542,-345986,1257287,600,656,-437,656,1083,-494,-437,-494,956,0,0,0
27,1306,-343872,-265967,1259930,1,-1,1,-345140,-268280,1262566,598,637,-450,637,1045,-486,-450,-486,987,0,0,0
28,1306,-323888,-190047,1247210,-1,-1,-1,-325864,-193062,1246990,594,622,-444,622,1017,-462,-444,-462,989,0,0,0
29,1306,-295258,-123239,1215365,-1,1,1,-296266,-123318,1217814,591,616,-424,616,1010,-432,-424,-432,965,0,0,0
30,1306,-259540,-65720,1173070,1,-1,-1,-258626,-65739,1170730,591,624,-394,624,1029,-402,-394,-402,921,0,0,0
31,1306,-219703,-23012,1118012,1,-1,1,-220766,-25094,1120289,597,648,-359,648,1078,-376,-359,-376,867,0,0,0
32,1306,-182556,4744,1064284,1,-1,1,-183596,2617,1066447,608,686,-322,686,1153,-353,-322,-353,810,0,0,0
33,1306,-148120,21715,1010277,-1,-1,-1,-150891,17444,1009938,625,736,-286,736,1252,-332,-286,-332,754,0,0,0
34,1306,-119435,28299,955779,1,1,-1,-115077,34678,952528,647,797,-253,797,1372,-312,-253,-312,704,0,0,0
35,1306,-87585,39300,900765,1,-1,-1,-87551,38332,899272,672,866,-219,866,1511,-288,-219,-288,657,0,0,0
36,1306,-64716,39292,850701,1,-1,-1,-64883,38041,849324,699,937,-187,938,1661,-261,-187,-261,616,0,0,0
37,1306,-46394,37022,803868,1,-1,-1,-46758,35472,802581,728,1011,-158,1011,1819,-231,-158,-231,583,0,0,0
38,1306,-32087,33603,760008,-1,1,-1,-30874,36481,758406,757,1084,-130,1084,1978,-199,-130,-199,555,0,0,0
39,1306,-18888,34637,718430,1,-1,-1,-19621,32458,717239,785,1155,-104,1155,2134,-166,-104,-166,533,0,0,0
40,1306,-10366,30951,679659,1,-1,1,-11669,27803,681115,810,1221,-81,1221,2283,-133,-81,-133,515,0,0,0
41,1306,-4648,26802,645581,-1,1,1,-3592,29581,646745,833,1281,-61,1281,2420,-103,-61,-103,501,0,0,0
42,1306,2385,29500,613117,-1,-1,1,-3396,19235,614666,854,1336,-42,1336,2549,-73,-42,-73,491,0,0,0
43,1306,659,18990,582713,1,-1,-1,-647,15715,581547,871,1384,-29,1384,2665,-53,-29,-53,483,0,0,0
44,1306,2313,15853,551342,1,1,1,8275,26680,552414,886,1429,-19,1429,2773,-36,-19,-36,477,0,0,0
45,1306,11782,28701,523871,1,-1,-1,10274,25002,522688,899,1468,-6,1468,2871,-12,-6,-12,472,0,0,0
46,1306,13166,27575,495709,-1,1,-1,14755,31466,494523,909,1502,6,1502,2960,7,6,7,468,0,0,0
47,1306,18128,35355,469142,1,-1,-1,16437,31263,467930,919,1534,17,1534,3045,28,17,28,466,0,0,0
48,1306,19531,35802,443955,-1,-1,-1,12987,23492,442585,927,1562,27,1562,3121,46,27,46,464,0,0,0
49,1306,15229,27261,419797,-1,-1,1,8750,14961,420757,934,1588,30,1588,3192,54,30,54,462,0,0,0
50,1306,10115,17604,398988,-1,-1,1,3556,5073,399945,940,1611,29,1611,3257,54,29,54,460,0,0,0
51,1306,3929,6170,379183,1,1,-1,10572,18932,378196,946,1632,24,1632,3317,46,24,46,458,0,0,0
52,1306,12405,22425,358684,1,1,1,19236,35622,360052,952,1654,26,1654,3378,50,26,50,458,0,0,0
53,1306,22803,42226,341796,1,1,-1,29547,55326,340897,956,1671,35,1671,3427,68,35,68,457,0,0,0
54,1306,35169,65837,324252,-1,-1,1,28424,52668,325034,960,1688,51,1688,3477,98,51,98,459,0,0,0
55,1306,33757,63054,309128,-1,1,1,35898,68205,310454,962,1702,62,1702,3518,119,62,119,460,0,0,0
56,1306,42970,81686,295925,-1,1,1,45175,86975,297286,965,1713,78,1713,3554,147,78,147,462,0,0,0
57,1306,54317,104342,284411,1,1,-1,61072,117699,283963,966,1723,97,1722,3585,185,97,185,465,0,0,0
58,1306,73499,141677,273911,1,1,1,80843,156200,276062,968,1731,125,1731,3611,239,125,239,472,0,0,0
59,1306,97398,188308,269981,1,1,1,104851,203068,272457,969,1736,163,1736,3629,313,163,313,485,0,0,0
60,1306,126427,244880,272231,-1,1,1,129028,250976,274042,969,1736,212,1736,3630,407,212,407,506,0,0,0
61,1306,155755,302187,280983,-1,-1,1,149448,289640,280323,966,1729,269,1729,3612,516,269,516,539,0,0,0
