step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
0,88499,88523,77497,5490,467,16,467,5885,-2,16,-2,5901
1,93842,132430,65070,2281,1140,57,1140,3329,20,57,20,2955
2,101539,181618,71253,1303,1204,81,1204,2661,57,81,57,1930
3,115629,221243,77281,911,1151,100,1151,2409,103,100,103,1423
4,140753,283861,90738,730,1076,118,1076,2264,150,118,150,1128
5,173534,356553,115411,644,1021,142,1021,2177,208,142,208,949
6,221304,457164,156310,599,974,174,974,2096,275,174,275,842
7,273981,563254,215375,576,937,219,937,2020,361,219,361,790
8,337955,680860,309946,559,896,272,896,1917,454,272,454,784
9,407902,794669,440318,543,845,333,845,1779,548,333,548,825
10,487636,901490,625660,526,778,394,778,1596,624,394,624,907
11,568028,965886,867386,507,692,454,692,1370,665,454,665,1029
12,635471,944604,1151968,481,584,496,584,1105,639,496,639,1165
13,684738,818292,1452326,451,463,509,463,848,533,509,533,1271
14,684346,554643,1684743,414,338,479,338,637,355,479,355,1291
15,628399,212456,1784424,377,240,408,240,519,166,408,166,1196
16,523672,-115939,1740227,348,186,314,186,486,27,314,27,1020
17,383753,-366905,1597196,332,179,216,179,501,-44,216,-44,830
18,232936,-514878,1432423,330,208,128,208,534,-69,128,-69,678
19,92162,-577325,1292379,339,256,53,256,580,-82,53,-82,579
20,-34066,-600066,1206370,358,311,-13,311,640,-103,-13,-103,528
21,-134973,-592310,1162851,380,363,-74,363,704,-138,-74,-138,513
22,-216496,-570980,1157120,401,403,-131,403,757,-183,-131,-183,526
23,-276979,-534296,1176034,418,432,-183,432,793,-230,-183,-230,559
24,-316357,-481356,1201757,430,444,-226,444,804,-268,-226,-268,602
25,-343849,-423004,1230250,436,445,-257,445,796,-291,-257,-291,643
26,-352575,-350295,1251194,439,437,-275,437,776,-297,-275,-297,675
27,-346606,-274779,1257358,438,425,-280,425,755,-289,-280,-289,690
28,-328334,-198920,1245329,434,416,-272,416,738,-271,-272,-271,687
29,-298023,-127590,1215763,434,414,-257,414,736,-251,-257,-251,671
30,-263658,-74014,1172500,435,421,-236,421,751,-232,-236,-232,645
31,-225519,-31044,1121521,439,437,-213,437,782,-214,-213,-214,614
32,-185504,1321,1066350,445,461,-189,461,827,-197,-189,-197,580
33,-151181,18886,1009397,455,492,-165,492,887,-182,-165,-182,548
34,-113602,38003,951037,467,528,-142,528,956,-168,-142,-168,520
35,-83348,44876,896628,479,566,-119,566,1033,-150,-119,-150,494
36,-59369,45988,847051,492,603,-97,603,1112,-130,-97,-130,472
37,-40257,43943,799226,503,636,-77,636,1186,-108,-77,-108,455
38,-24545,43969,756707,515,670,-59,670,1264,-87,-59,-87,442
39,-16924,33849,716881,523,699,-43,699,1331,-66,-43,-66,431
40,-10377,27513,682056,533,728,-30,728,1399,-49,-30,-49,424
41,-3632,27079,646879,539,751,-20,751,1455,-36,-20,-36,418
42,-739,21974,615291,545,770,-13,770,1505,-23,-13,-23,413
43,2065,19007,581244,548,786,-7,786,1547,-13,-7,-13,410
44,6707,22172,551934,552,801,-3,801,1588,-5,-3,-5,408
45,9294,22773,522232,554,815,2,815,1626,3,2,3,406
46,13574,28633,493232,557,829,6,829,1665,10,6,10,405
47,17088,32454,465279,556,834,11,834,1686,18,11,18,403
48,18793,34544,440843,557,843,16,843,1715,26,16,26,402
49,16322,29169,419039,559,854,20,854,1746,33,20,33,402
50,8878,13522,397573,558,858,22,858,1764,37,22,37,401
51,14286,25204,377070,559,866,19,866,1789,33,19,33,401
52,19381,34385,358519,558,869,20,869,1803,35,20,35,400
53,23729,42829,339211,560,878,23,878,1829,41,23,41,401
54,27712,51325,324170,558,879,27,879,1839,48,27,48,401
55,36748,69633,310088,556,878,32,878,1844,57,32,57,401
56,54161,105099,298437,559,887,40,887,1867,72,40,72,403
57,67546,130855,285562,558,889,53,889,1874,97,53,97,406
58,86838,166396,277088,556,887,68,887,1874,125,68,125,410
59,108575,209840,274155,553,882,88,882,1869,160,88,160,416
60,128483,249780,274748,551,879,112,879,1864,202,112,202,426
61,154160,298743,283211,550,875,137,875,1854,249,137,249,441
62,186749,361174,297338,547,866,166,866,1832,300,166,300,462
63,229466,441227,327191,545,858,201,858,1806,361,201,361,492
64,277589,527007,379760,541,841,242,841,1757,430,242,430,537
65,331462,617913,455114,538,818,291,818,1688,506,291,506,602
66,389424,702831,561271,530,780,343,780,1581,576,343,576,688
67,453388,776976,705947,519,729,396,729,1442,632,396,632,796
68,516835,818872,891504,502,657,442,657,1258,652,442,652,918
69,575663,810025,1111637,478,565,472,565,1046,623,472,623,1038
70,604852,705592,1321440,451,465,481,465,836,537,481,537,1134
71,603793,523932,1487342,420,366,457,366,663,404,457,404,1162
72,565062,291444,1569739,391,288,407,288,554,261,407,261,1116
73,492837,59352,1561794,367,240,336,240,507,140,336,140,1001
74,394811,-134398,1481456,352,227,260,227,508,65,260,65,865
75,286295,-265032,1365997,348,244,188,244,536,26,188,26,736
76,177780,-341254,1250552,357,281,126,281,586,6,126,6,636
77,82210,-374970,1153119,373,331,71,331,654,-11,71,-11,563
78,-2624,-389665,1078012,395,386,21,386,735,-34,21,-34,517
79,-72348,-388675,1024855,417,440,-27,440,821,-68,-27,-68,491
80,-129619,-385332,992758,440,490,-72,490,906,-112,-72,-112,483
81,-173085,-374350,976491,458,529,-115,529,974,-160,-115,-160,489
82,-210012,-368949,965561,474,559,-155,559,1028,-210,-155,-210,505
83,-234036,-352959,959222,483,578,-190,578,1060,-255,-190,-255,528
84,-254498,-342099,959732,489,588,-218,588,1076,-291,-218,-291,553
85,-268697,-329298,961122,494,593,-241,593,1083,-321,-241,-321,579
86,-275795,-313007,959835,495,591,-257,591,1076,-341,-257,-341,601
87,-281850,-301460,962783,495,587,-267,587,1067,-352,-267,-352,619
88,-287929,-294137,966597,493,581,-273,581,1055,-357,-273,-357,631
89,-288838,-282292,962844,491,576,-277,576,1044,-359,-277,-359,642
90,-284232,-264984,959978,488,572,-278,572,1036,-358,-278,-358,649
91,-277108,-247876,950099,487,570,-276,570,1034,-355,-276,-355,651
92,-268336,-234109,939061,486,571,-272,571,1037,-350,-272,-350,648
93,-262498,-227700,927453,487,574,-266,574,1046,-344,-266,-344,642
94,-256263,-222359,916414,488,579,-260,579,1057,-339,-260,-339,635
95,-255689,-226724,905057,489,585,-255,585,1070,-335,-255,-335,627
96,-247486,-219218,892550,490,590,-251,590,1082,-332,-251,-332,621
97,-243985,-219764,878824,493,600,-248,600,1103,-331,-248,-331,616
98,-240285,-221722,863459,496,608,-245,608,1121,-331,-245,-331,611
99,-235380,-222388,846268,498,615,-243,615,1138,-331,-243,-331,605
100,-229111,-222009,828056,502,625,-242,625,1161,-334,-242,-334,601
101,-232050,-235169,817222,504,634,-239,634,1180,-335,-239,-335,596
102,-237059,-250435,809771,505,640,-239,640,1193,-338,-239,-338,593
103,-238866,-260027,804132,509,647,-243,647,1211,-347,-243,-347,596
104,-245436,-275844,800918,510,651,-247,651,1219,-354,-247,-354,599
105,-255590,-294953,801092,510,652,-254,652,1222,-363,-254,-363,605
106,-262496,-305882,805319,508,649,-261,649,1218,-372,-261,-372,614
107,-270224,-316656,808119,506,646,-268,646,1211,-382,-268,-382,625
108,-280908,-331539,817225,504,640,-275,640,1199,-390,-275,-390,637
109,-289704,-341755,829533,502,634,-284,634,1185,-399,-284,-399,651
110,-300248,-352517,844656,501,627,-292,627,1168,-407,-292,-407,666
111,-313071,-364086,867695,498,618,-300,618,1147,-413,-300,-413,681
112,-323847,-368104,891909,496,608,-309,608,1123,-419,-309,-419,699
113,-330179,-363489,915248,491,592,-313,592,1089,-417,-313,-417,713
