step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
0,95350,61445,112465,20269,8884,251,8884,32079,67,251,67,25197
1,124124,155287,84388,8201,6753,234,6753,18351,139,234,139,11514
2,113621,178418,75080,4192,4938,301,4938,11850,273,301,273,6369
3,127407,224746,73861,2589,3816,298,3816,8593,339,298,339,4091
4,154953,301202,96910,1861,3133,313,3133,6865,421,313,421,2913
5,178866,359645,126433,1494,2686,355,2686,5823,537,355,537,2246
6,223457,456080,167935,1291,2383,404,2383,5135,656,404,656,1846
7,276305,563268,223192,1165,2154,478,2154,4610,808,478,808,1622
8,338006,675967,316776,1078,1964,570,1964,4157,979,570,979,1529
9,406341,786871,443886,1008,1778,673,1778,3689,1144,673,1144,1546
10,489663,902078,627453,943,1581,777,1581,3184,1273,777,1273,1659
11,569638,966819,869667,875,1358,875,1358,2613,1331,875,1331,1859
12,633097,938438,1150346,802,1107,941,1107,2008,1259,941,1259,2093
13,683379,816382,1449992,723,846,947,846,1448,1032,947,1032,2266
14,682868,553395,1683389,639,596,883,596,1008,683,883,683,2291
15,627305,211487,1785045,558,401,743,401,759,312,743,312,2099
16,521742,-117698,1739966,491,292,563,292,679,39,563,39,1752
17,383702,-366920,1600600,447,268,386,268,691,-98,386,-98,1380
18,232456,-516600,1436049,432,303,234,303,735,-144,234,-144,1081
19,90117,-581457,1296059,440,371,109,371,799,-160,109,-160,882
20,-35391,-603544,1210862,465,451,3,451,881,-184,3,-184,769
21,-137183,-596093,1168674,498,530,-94,530,972,-231,-94,-231,723
22,-220291,-575602,1162935,532,596,-187,596,1055,-298,-187,-298,727
23,-278548,-533895,1182411,562,642,-273,641,1110,-373,-273,-373,770
24,-319210,-482029,1208839,584,665,-347,665,1129,-437,-347,-437,834
25,-344829,-420775,1236249,596,668,-402,668,1116,-479,-402,-479,901
26,-352542,-345986,1257287,600,656,-437,656,1083,-494,-437,-494,956
27,-345140,-268280,1262566,598,637,-450,637,1045,-486,-450,-486,987
28,-325864,-193062,1246990,594,622,-444,622,1017,-462,-444,-462,989
